symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCD,2016-08-24 00:00:00+00:00,114.87,115.4,114.73,115.15,4135442,101.8111526901,102.2809003259,101.6870684089,102.0593212524,4135442,0.0,1.0
MCD,2016-08-25 00:00:00+00:00,115.43,115.78,114.88,115.1,6693643,102.3074898147,102.6177005176,101.820015853,102.0150054377,6693643,0.0,1.0
MCD,2016-08-26 00:00:00+00:00,114.44,115.72,113.96,115.63,5294499,101.4300366837,102.56452154,101.0046048626,102.4847530735,5294499,0.0,1.0
MCD,2016-08-29 00:00:00+00:00,115.41,115.65,114.5,114.6,4982882,102.2897634888,102.5024793994,101.4832156613,101.5718472907,4982882,0.0,1.0
MCD,2016-08-30 00:00:00+00:00,115.36,115.87,114.6,115.41,5085332,103.0342691758,103.4897778207,102.3554719794,103.0789268861,5085332,0.89,1.0
MCD,2016-08-31 00:00:00+00:00,115.66,116.0,115.2,115.51,5394668,103.3022154375,103.6058878675,102.8913645029,103.1682423066,5394668,0.0,1.0
MCD,2016-09-01 00:00:00+00:00,115.4,115.8147,114.86,115.51,3966619,103.069995344,103.4403863931,102.5876920729,103.1682423066,3966619,0.0,1.0
MCD,2016-09-02 00:00:00+00:00,115.83,116.11,115.695,115.93,3410123,103.4540516525,103.7041348301,103.3334758347,103.5433670731,3410123,0.0,1.0
MCD,2016-09-06 00:00:00+00:00,117.25,119.24,116.91,117.09,6337848,104.7223306247,106.4997074941,104.4186581947,104.5794259517,6337848,0.0,1.0
MCD,2016-09-07 00:00:00+00:00,116.92,117.49,116.44,117.27,2647485,104.4275897368,104.936687634,103.998875718,104.7401937088,2647485,0.0,1.0
MCD,2016-09-08 00:00:00+00:00,116.17,117.11,116.04,116.82,3085582,103.7577240824,104.5972890359,103.6416140357,104.3382743162,3085582,0.0,1.0
MCD,2016-09-09 00:00:00+00:00,114.58,115.76,114.58,115.6,4961070,102.3376088953,103.3915308581,102.3376088953,103.2486261852,4961070,0.0,1.0
MCD,2016-09-12 00:00:00+00:00,115.95,116.18,114.13,114.47,5014014,103.5612301572,103.7666556245,101.9356895027,102.2393619327,5014014,0.0,1.0
MCD,2016-09-13 00:00:00+00:00,114.73,115.61,114.48,115.61,4162162,102.4715820262,103.2575577272,102.2482934747,103.2575577272,4162162,0.0,1.0
MCD,2016-09-14 00:00:00+00:00,115.18,115.66,114.82,115.0,4530713,102.8735014187,103.3022154375,102.5519659047,102.7127336617,4530713,0.0,1.0
MCD,2016-09-15 00:00:00+00:00,116.14,116.24,114.77,114.88,3674687,103.7309294563,103.8202448768,102.5073081944,102.605555157,3674687,0.0,1.0
MCD,2016-09-16 00:00:00+00:00,115.28,116.26,114.83,115.68,9498752,102.9628168393,103.838107961,102.5608974467,103.3200785216,9498752,0.0,1.0
MCD,2016-09-19 00:00:00+00:00,115.21,116.41,114.9573,115.83,3741507,102.9002960449,103.9720810918,102.6745959771,103.4540516525,3741507,0.0,1.0
MCD,2016-09-20 00:00:00+00:00,116.45,116.63,115.5,115.72,3841800,104.0078072601,104.1685750171,103.1593107646,103.3558046899,3841800,0.0,1.0
MCD,2016-09-21 00:00:00+00:00,116.93,117.05,115.96,116.49,4528903,104.4365212788,104.5436997835,103.5701616992,104.0435334283,4528903,0.0,1.0
MCD,2016-09-22 00:00:00+00:00,117.36,117.95,117.282,117.46,3808722,104.8205775873,105.3475385687,104.7509115592,104.9098930079,3808722,0.0,1.0
MCD,2016-09-23 00:00:00+00:00,117.17,117.52,116.35,116.49,2775956,104.6508782882,104.9634822602,103.9184918395,104.0435334283,2775956,0.0,1.0
MCD,2016-09-26 00:00:00+00:00,116.53,116.94,116.28,116.8,3022356,104.0792595965,104.4454528209,103.8559710451,104.3204112321,3022356,0.0,1.0
MCD,2016-09-27 00:00:00+00:00,116.88,117.2,116.37,116.95,3745396,104.3918635685,104.6776729144,103.9363549236,104.4543843629,3745396,0.0,1.0
MCD,2016-09-28 00:00:00+00:00,115.18,116.53,114.46,116.38,5638772,102.8735014187,104.0792595965,102.2304303906,103.9452864657,5638772,0.0,1.0
MCD,2016-09-29 00:00:00+00:00,114.79,115.97,114.73,115.2,4924388,102.5251712785,103.5790932413,102.4715820262,102.8913645029,4924388,0.0,1.0
MCD,2016-09-30 00:00:00+00:00,115.36,115.71,114.69,114.69,4188694,103.0342691758,103.3468731478,102.4358558579,102.4358558579,4188694,0.0,1.0
MCD,2016-10-03 00:00:00+00:00,114.64,115.15,114.41,115.01,3085750,102.3911981476,102.8467067926,102.1857726803,102.7216652038,3085750,0.0,1.0
MCD,2016-10-04 00:00:00+00:00,113.5,115.51,113.42,114.99,4742913,101.3730023531,103.1682423066,101.3015500166,102.7038021197,4742913,0.0,1.0
MCD,2016-10-05 00:00:00+00:00,113.41,114.83,113.38,113.91,3720334,101.2926184746,102.5608974467,101.2658238484,101.7391955774,3720334,0.0,1.0
